Elements;insertionS;milliSec;250;250;100;20;auf
250;0
500;1
750;2
1000;3
1250;6
1500;8
1750;12
2000;15
2250;20
2500;24
2750;30
3000;36
3250;41
3500;47
3750;54
4000;61
4250;70
4500;79
4750;90
5000;95
5250;105
5500;114
5750;125
6000;135
6250;148
6500;161
6750;174
7000;188
7250;203
7500;218
7750;234
8000;310
8250;333
8500;358
8750;385
9000;409
9250;437
9500;467
9750;520
10000;545
10250;579
10500;613
10750;658
11000;689
11250;723
11500;766
11750;792
12000;838
12250;883
12500;902
12750;928
13000;974
13250;1042
13500;1089
13750;1153
14000;1198
14250;1281
14500;1334
14750;1399
15000;1418
15250;1477
15500;1551
15750;1637
16000;1699
16250;1770
16500;1840
16750;1928
17000;2031
17250;2048
17500;2152
17750;2227
18000;2316
18250;2387
18500;2461
18750;2553
19000;2644
19250;2734
19500;2832
19750;2926
